stock_id,stock_name,episode_start_date,dataset,normal_subregime,production_market_regime,market_path_state,entry_close,episode_return_day0_to_day10,episode_outcome,future_trade_date_10d,maturity_status,data_status
2611,志信,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,14.05,-2.135231316725983,NEUTRAL,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
7795,長廣,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,400.0,52.75000000000001,WINNER,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1301,台塑,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,47.95,24.504692387904072,WINNER,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1802,台玻,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,69.3,1.587301587301604,NEUTRAL,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1541,錩泰,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,22.5,-4.888888888888898,NEUTRAL,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00403A,主動統一升級50,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,10.75,3.6279069767442,NEUTRAL,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6472,保瑞,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,412.5,4.7272727272727355,NEUTRAL,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1531,高林股,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,12.95,-0.3861003861003742,NEUTRAL,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
3535,晶彩科,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,134.5,-14.12639405204461,LOSER,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2402,毅嘉,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,70.9,-4.090267983074758,NEUTRAL,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1465,偉全,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,12.45,1.2048192771084263,NEUTRAL,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
8039,台虹,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,146.0,1.3698630136986356,NEUTRAL,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
0051,元大中型100,2026-06-18,A,BULL_NORMAL,BULL_TREND,NORMAL,147.7,1.1171293161814422,NEUTRAL,2026-07-03,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00946,群益科技高息成長,2026-06-18,A,BULL_NORMAL,BULL_TREND,NORMAL,15.4,1.9480519480519431,NEUTRAL,2026-07-03,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00733,富邦臺灣中小,2026-06-18,A,BULL_NORMAL,BULL_TREND,NORMAL,78.25,0.575079872204487,NEUTRAL,2026-07-03,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
009803,玉山市值動能50,2026-06-18,A,BULL_NORMAL,BULL_TREND,NORMAL,21.97,-0.0910332271279013,NEUTRAL,2026-07-03,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
009808,華南永昌優選50,2026-06-18,A,BULL_NORMAL,BULL_TREND,NORMAL,32.0,0.0,NEUTRAL,2026-07-03,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00896,中信綠能及電動車,2026-06-18,A,BULL_NORMAL,BULL_TREND,NORMAL,27.97,1.2155881301394444,NEUTRAL,2026-07-03,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00993A,主動安聯台灣,2026-06-18,A,BULL_NORMAL,BULL_TREND,NORMAL,14.29,0.7697690692792358,NEUTRAL,2026-07-03,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00762,元大全球AI,2026-06-18,A,BULL_NORMAL,BULL_TREND,NORMAL,121.7,-6.450287592440429,LOSER,2026-07-03,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00982A,主動群益台灣強棒,2026-06-18,A,BULL_NORMAL,BULL_TREND,NORMAL,24.83,2.7386226339106035,NEUTRAL,2026-07-03,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
