unit,stock_id,episode_start_date,confirmation_date,feature_as_of_date,max_source_date,promotion_reference_close,point_in_time_valid,future_feature_used,outcome_used_in_decision,audit_status
DAY0,2352,2026-06-24,2026-06-24,2026-06-24,2026-06-24,30.6,True,False,False,POINT_IN_TIME_VALID
DAY0,4306,2026-06-25,2026-06-25,2026-06-25,2026-06-25,15.9,True,False,False,POINT_IN_TIME_VALID
DAY0,1709,2026-06-25,2026-06-25,2026-06-25,2026-06-25,21.4,True,False,False,POINT_IN_TIME_VALID
DAY0,5880,2026-06-25,2026-06-25,2026-06-25,2026-06-25,25.1,True,False,False,POINT_IN_TIME_VALID
DAY0,8464,2026-06-25,2026-06-25,2026-06-25,2026-06-25,355.5,True,False,False,POINT_IN_TIME_VALID
DAY0,1776,2026-06-25,2026-06-25,2026-06-25,2026-06-25,19.95,True,False,False,POINT_IN_TIME_VALID
DAY0,1725,2026-06-25,2026-06-25,2026-06-25,2026-06-25,35.05,True,False,False,POINT_IN_TIME_VALID
DAY0,2458,2026-06-25,2026-06-25,2026-06-25,2026-06-25,180.0,True,False,False,POINT_IN_TIME_VALID
DAY0,2103,2026-06-25,2026-06-25,2026-06-25,2026-06-25,21.45,True,False,False,POINT_IN_TIME_VALID
DAY0,00674R,2026-06-25,2026-06-25,2026-06-25,2026-06-25,30.82,True,False,False,POINT_IN_TIME_VALID
DAY0,1313,2026-06-25,2026-06-25,2026-06-25,2026-06-25,12.55,True,False,False,POINT_IN_TIME_VALID
DAY0,3591,2026-06-25,2026-06-25,2026-06-25,2026-06-25,27.25,True,False,False,POINT_IN_TIME_VALID
DAY0,6582,2026-06-25,2026-06-25,2026-06-25,2026-06-25,32.9,True,False,False,POINT_IN_TIME_VALID
DAY0,2107,2026-06-25,2026-06-25,2026-06-25,2026-06-25,25.9,True,False,False,POINT_IN_TIME_VALID
DAY0,4414,2026-06-25,2026-06-25,2026-06-25,2026-06-25,8.6,True,False,False,POINT_IN_TIME_VALID
DAY0,2345,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2660.0,True,False,False,POINT_IN_TIME_VALID
DAY0,9935,2026-07-01,2026-07-01,2026-07-01,2026-07-01,19.7,True,False,False,POINT_IN_TIME_VALID
DAY0,8466,2026-07-01,2026-07-01,2026-07-01,2026-07-01,17.5,True,False,False,POINT_IN_TIME_VALID
DAY0,2528,2026-07-01,2026-07-01,2026-07-01,2026-07-01,22.4,True,False,False,POINT_IN_TIME_VALID
DAY0,00938,2026-07-01,2026-07-01,2026-07-01,2026-07-01,24.39,True,False,False,POINT_IN_TIME_VALID
DAY0,00643,2026-07-01,2026-07-01,2026-07-01,2026-07-01,20.84,True,False,False,POINT_IN_TIME_VALID
DAY0,3605,2026-07-01,2026-07-01,2026-07-01,2026-07-01,85.6,True,False,False,POINT_IN_TIME_VALID
DAY0,2429,2026-07-01,2026-07-01,2026-07-01,2026-07-01,48.0,True,False,False,POINT_IN_TIME_VALID
DAY0,00728,2026-07-01,2026-07-01,2026-07-01,2026-07-01,66.05,True,False,False,POINT_IN_TIME_VALID
DAY0,2433,2026-07-01,2026-07-01,2026-07-01,2026-07-01,44.8,True,False,False,POINT_IN_TIME_VALID
DAY1,0055,2026-06-15,2026-06-16,2026-06-16,2026-06-16,41.98,True,False,False,POINT_IN_TIME_VALID
DAY1,2891,2026-06-15,2026-06-16,2026-06-16,2026-06-16,70.8,True,False,False,POINT_IN_TIME_VALID
