stock_id,stock_name,episode_start_date,cohort_source,dataset,production_market_regime,market_path_state,branch_r_eligible,branch_exclusion_state,momentum_rank,down_survival_ratio,down_survival_ratio_top120_percentile,entry_close,maturity_status,branch_maturity_status,episode_outcome,decision_date,feature_as_of_date,max_source_date,point_in_time_valid
6464,台數科,2026-07-15,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,106.0,1.0,92.08333333333331,78.7,PENDING_DAY10,PENDING_DAY10,,2026-07-15,2026-07-15,2026-07-15,True
6598,ABC-KY,2026-07-15,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,26.0,0.8,69.16666666666667,26.15,PENDING_DAY10,PENDING_DAY10,,2026-07-15,2026-07-15,2026-07-15,True
6669,緯穎,2026-07-15,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,75.0,0.8,69.16666666666667,5095.0,PENDING_DAY10,PENDING_DAY10,,2026-07-15,2026-07-15,2026-07-15,True
6887,寶綠特-KY,2026-07-15,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,103.0,0.6,39.166666666666664,39.7,PENDING_DAY10,PENDING_DAY10,,2026-07-15,2026-07-15,2026-07-15,True
8478,東哥遊艇,2026-07-15,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,114.0,0.6,39.166666666666664,156.0,PENDING_DAY10,PENDING_DAY10,,2026-07-15,2026-07-15,2026-07-15,True
8499,鼎炫-KY,2026-07-15,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,117.0,0.4,15.0,302.0,PENDING_DAY10,PENDING_DAY10,,2026-07-15,2026-07-15,2026-07-15,True
9927,泰銘,2026-07-15,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,110.0,1.0,92.08333333333331,69.8,PENDING_DAY10,PENDING_DAY10,,2026-07-15,2026-07-15,2026-07-15,True
00715L,期街口布蘭特正2,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,66.0,0.6666666666666666,47.91666666666667,43.3,PENDING_DAY10,PENDING_DAY10,,2026-07-16,2026-07-16,2026-07-16,True
00916,國泰全球品牌50,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,95.0,1.0,94.16666666666669,26.77,PENDING_DAY10,PENDING_DAY10,,2026-07-16,2026-07-16,2026-07-16,True
1101,台泥,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,115.0,0.8333333333333334,74.58333333333333,23.95,PENDING_DAY10,PENDING_DAY10,,2026-07-16,2026-07-16,2026-07-16,True
1103,嘉泥,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,117.0,1.0,94.16666666666669,13.65,PENDING_DAY10,PENDING_DAY10,,2026-07-16,2026-07-16,2026-07-16,True
1110,東泥,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,62.0,0.6666666666666666,47.91666666666667,16.1,PENDING_DAY10,PENDING_DAY10,,2026-07-16,2026-07-16,2026-07-16,True
1436,華友聯,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,113.0,1.0,94.16666666666669,46.0,PENDING_DAY10,PENDING_DAY10,,2026-07-16,2026-07-16,2026-07-16,True
1439,雋揚,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,41.0,0.5,24.583333333333332,26.45,PENDING_DAY10,PENDING_DAY10,,2026-07-16,2026-07-16,2026-07-16,True
1442,名軒,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,89.0,1.0,94.16666666666669,29.4,PENDING_DAY10,PENDING_DAY10,,2026-07-16,2026-07-16,2026-07-16,True
1732,毛寶,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,76.0,0.8333333333333334,74.58333333333333,26.5,PENDING_DAY10,PENDING_DAY10,,2026-07-16,2026-07-16,2026-07-16,True
2459,敦吉,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,50.0,1.0,94.16666666666669,67.2,PENDING_DAY10,PENDING_DAY10,,2026-07-16,2026-07-16,2026-07-16,True
2524,京城,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,88.0,0.8333333333333334,74.58333333333333,38.45,PENDING_DAY10,PENDING_DAY10,,2026-07-16,2026-07-16,2026-07-16,True
3266,昇陽,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,97.0,0.8333333333333334,74.58333333333333,14.0,PENDING_DAY10,PENDING_DAY10,,2026-07-16,2026-07-16,2026-07-16,True
6789,采鈺,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,73.0,0.1666666666666666,1.6666666666666667,526.0,PENDING_DAY10,PENDING_DAY10,,2026-07-16,2026-07-16,2026-07-16,True
8404,百和興業-KY,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,107.0,0.8333333333333334,74.58333333333333,17.05,PENDING_DAY10,PENDING_DAY10,,2026-07-16,2026-07-16,2026-07-16,True
OilGasElectricity,油電燃氣類指數,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,118.0,0.6666666666666666,47.91666666666667,108.62,PENDING_DAY10,PENDING_DAY10,,2026-07-16,2026-07-16,2026-07-16,True
00632R,元大台灣50反1,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,83.0,0.8333333333333334,58.333333333333336,10.83,PENDING_DAY10,PENDING_DAY10,,2026-07-17,2026-07-17,2026-07-17,True
00642U,期元大S&P石油,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,71.0,0.6666666666666666,35.833333333333336,25.9,PENDING_DAY10,PENDING_DAY10,,2026-07-17,2026-07-17,2026-07-17,True
00664R,國泰臺灣加權反1,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,76.0,1.0,84.58333333333333,1.74,PENDING_DAY10,PENDING_DAY10,,2026-07-17,2026-07-17,2026-07-17,True
