stock_id,stock_name,episode_start_date,cohort_source,dataset,production_market_regime,market_path_state,momentum_rank,entry_close,episode_outcome,maturity_status,available_forward_sessions,branch_n_eligible,outcome_maturity_status,day0_state,decision_date,feature_as_of_date,max_source_date,point_in_time_valid,input_status,confirmation_date,day1_c_pass,state,promotion_reference_close,predicate_trace,missing_required_feature
8411,福貞-KY,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,77.0,12.65,,EXCLUDED_NON_NORMAL,9,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-14,2026-07-14,2026-07-14,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
8462,柏文,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,1.0,167.0,,EXCLUDED_NON_NORMAL,9,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-14,2026-07-14,2026-07-14,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
8481,政伸,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,106.0,42.4,,EXCLUDED_NON_NORMAL,9,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-14,2026-07-14,2026-07-14,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
910322,康師傅-DR,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,98.0,22.95,,EXCLUDED_NON_NORMAL,9,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-14,2026-07-14,2026-07-14,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
2015,豐興,2026-07-15,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,119.0,64.0,,EXCLUDED_NON_NORMAL,8,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-15,2026-07-15,2026-07-15,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
6464,台數科,2026-07-15,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,106.0,78.7,,EXCLUDED_NON_NORMAL,8,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-15,2026-07-15,2026-07-15,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
6598,ABC-KY,2026-07-15,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,26.0,26.15,,EXCLUDED_NON_NORMAL,8,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-15,2026-07-15,2026-07-15,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
6669,緯穎,2026-07-15,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,75.0,5095.0,,EXCLUDED_NON_NORMAL,8,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-15,2026-07-15,2026-07-15,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
6887,寶綠特-KY,2026-07-15,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,103.0,39.7,,EXCLUDED_NON_NORMAL,8,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-15,2026-07-15,2026-07-15,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
8478,東哥遊艇,2026-07-15,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,114.0,156.0,,EXCLUDED_NON_NORMAL,8,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-15,2026-07-15,2026-07-15,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
