branch_unit,cohort_source,stock_id,episode_start_date,decision_date,feature_as_of_date,max_source_date,branch_eligible,decision_state,point_in_time_valid,future_feature_in_decision,outcome_in_decision,day3_rescue_used,config_hash
N_DAY0,EXISTING_PENDING,9924,2026-07-21,2026-07-21,2026-07-21,2026-07-21,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00636,2026-07-22,2026-07-22,2026-07-22,2026-07-22,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00669R,2026-07-22,2026-07-22,2026-07-22,2026-07-22,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00693U,2026-07-22,2026-07-22,2026-07-22,2026-07-22,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00700,2026-07-22,2026-07-22,2026-07-22,2026-07-22,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00702,2026-07-22,2026-07-22,2026-07-22,2026-07-22,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00709,2026-07-22,2026-07-22,2026-07-22,2026-07-22,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00710B,2026-07-22,2026-07-22,2026-07-22,2026-07-22,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00752,2026-07-22,2026-07-22,2026-07-22,2026-07-22,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00763U,2026-07-22,2026-07-22,2026-07-22,2026-07-22,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00917,2026-07-22,2026-07-22,2026-07-22,2026-07-22,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00924,2026-07-22,2026-07-22,2026-07-22,2026-07-22,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00926,2026-07-22,2026-07-22,2026-07-22,2026-07-22,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00945B,2026-07-22,2026-07-22,2026-07-22,2026-07-22,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00953B,2026-07-22,2026-07-22,2026-07-22,2026-07-22,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00956,2026-07-22,2026-07-22,2026-07-22,2026-07-22,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00960,2026-07-22,2026-07-22,2026-07-22,2026-07-22,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
