evaluation_date,top120_first_seen_count,top120_rank_improving_count,top120_market_outperform_count,top120_positive_return_count,top120_institution_buy_count,eligible_pocket_count,confirmed_pocket_count,phase2_selected_count,phase2_count_source,recent_phase2_day1_positive_rate,recent_phase2_day3_positive_rate,opportunity_density_continuous,rank_improving_rate,market_outperform_rate,positive_return_rate,institution_buy_rate,active_pocket_rate,opportunity_density,density_p25_dataset_a,density_p50_dataset_a,density_p75_dataset_a
2026-06-26,13,34,86,25,80,25,0,18,PHASE2_SHADOW_SURVIVORS,0.4,0.2,0.49404761904761907,0.2833333333333333,0.7166666666666667,0.20833333333333334,0.6666666666666666,0.5952380952380952,VERY_LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-29,15,32,71,84,82,29,0,15,PHASE2_SHADOW_SURVIVORS,0.4,0.26,0.5864285714285714,0.26666666666666666,0.5916666666666667,0.7,0.6833333333333333,0.6904761904761905,LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-30,22,34,71,106,95,25,2,50,PHASE2_SHADOW_SURVIVORS,0.4,0.32,0.6290476190476191,0.2833333333333333,0.5916666666666667,0.8833333333333333,0.7916666666666666,0.5952380952380952,MEDIUM,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-07-01,10,26,56,90,101,25,2,48,PHASE2_SHADOW_SURVIVORS,0.38,0.34,0.574047619047619,0.21666666666666667,0.4666666666666667,0.75,0.8416666666666667,0.5952380952380952,VERY_LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-07-02,18,46,99,91,91,26,3,33,PHASE2_SHADOW_SURVIVORS,0.38,0.34,0.6688095238095237,0.38333333333333336,0.825,0.7583333333333333,0.7583333333333333,0.6190476190476191,HIGH,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-07-03,14,39,98,98,89,24,8,40,PHASE2_SHADOW_SURVIVORS,0.36,0.36,0.6542857142857142,0.325,0.8166666666666667,0.8166666666666667,0.7416666666666667,0.5714285714285714,HIGH,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-07-06,17,49,93,86,91,23,2,47,PHASE2_SHADOW_SURVIVORS,0.48,0.36,0.6411904761904761,0.4083333333333333,0.775,0.7166666666666667,0.7583333333333333,0.5476190476190477,HIGH,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-07-07,14,41,59,31,89,28,0,47,PHASE2_SHADOW_SURVIVORS,0.48,0.36,0.5,0.3416666666666667,0.49166666666666664,0.25833333333333336,0.7416666666666667,0.6666666666666666,VERY_LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-07-08,11,48,62,66,77,24,1,39,PHASE2_SHADOW_SURVIVORS,0.48,0.34,0.535952380952381,0.4,0.5166666666666667,0.55,0.6416666666666667,0.5714285714285714,VERY_LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-07-09,13,47,89,67,88,29,0,53,PHASE2_SHADOW_SURVIVORS,0.5,0.36,0.6230952380952381,0.39166666666666666,0.7416666666666667,0.5583333333333333,0.7333333333333333,0.6904761904761905,MEDIUM,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-07-13,18,28,68,68,77,30,1,35,PHASE2_SHADOW_SURVIVORS,0.52,0.36,0.5445238095238095,0.23333333333333334,0.5666666666666667,0.5666666666666667,0.6416666666666667,0.7142857142857143,VERY_LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-07-14,21,21,82,57,91,29,0,15,PHASE2_SHADOW_SURVIVORS,0.5,0.34,0.5564285714285715,0.175,0.6833333333333333,0.475,0.7583333333333333,0.6904761904761905,VERY_LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-07-15,8,20,68,103,93,23,0,11,PHASE2_SHADOW_SURVIVORS,0.52,0.34,0.582857142857143,0.16666666666666666,0.5666666666666667,0.8583333333333333,0.775,0.5476190476190477,LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-07-16,15,41,67,63,89,25,2,13,PHASE2_SHADOW_SURVIVORS,0.52,0.4,0.5523809523809524,0.3416666666666667,0.5583333333333333,0.525,0.7416666666666667,0.5952380952380952,VERY_LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-07-17,16,38,98,35,95,26,0,12,PHASE2_SHADOW_SURVIVORS,0.52,0.38,0.5671428571428572,0.31666666666666665,0.8166666666666667,0.2916666666666667,0.7916666666666666,0.6190476190476191,VERY_LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-07-20,14,51,83,69,94,30,0,16,PHASE2_SHADOW_SURVIVORS,0.52,0.36,0.6378571428571429,0.425,0.6916666666666667,0.575,0.7833333333333333,0.7142857142857143,HIGH,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-07-21,6,62,39,96,94,23,3,13,PHASE2_SHADOW_SURVIVORS,0.52,0.36,0.5945238095238097,0.5166666666666667,0.325,0.8,0.7833333333333333,0.5476190476190477,LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-07-22,25,35,56,80,101,22,0,24,PHASE2_SHADOW_SURVIVORS,0.52,0.36,0.5580952380952381,0.2916666666666667,0.4666666666666667,0.6666666666666666,0.8416666666666667,0.5238095238095238,VERY_LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-07-23,7,42,67,67,95,23,0,25,PHASE2_SHADOW_SURVIVORS,0.56,0.36,0.5611904761904762,0.35,0.5583333333333333,0.5583333333333333,0.7916666666666666,0.5476190476190477,VERY_LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-07-24,10,59,100,60,84,22,0,24,PHASE2_SHADOW_SURVIVORS,0.4,0.34,0.6097619047619047,0.49166666666666664,0.8333333333333334,0.5,0.7,0.5238095238095238,LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
