evaluation_date,advancing_count,declining_count,unchanged_count,advance_decline_ratio,stocks_above_ma5_pct,stocks_above_ma10_pct,stocks_above_ma20_pct,new_20d_high_count,new_20d_low_count,new_high_low_ratio,limit_up_count,limit_down_count,median_stock_return_1d,median_stock_return_5d,volume_expanding_count,advance_decline_ratio_3d,advance_decline_ratio_5d,breadth_change_3d,breadth_change_5d,index_stock_divergence
2026-06-26,124,1192,35,0.1040268456375839,11.757188498402556,17.316293929712458,25.495207667731627,49,414,0.11835748792270531,7,32,-2.2556390977443663,-3.170028818443804,298,0.6159686480980792,0.6934160938745644,-20.191693290734825,-27.539936102236425,-0.9049348102503463
2026-06-29,851,411,88,2.070559610705596,25.23961661341853,22.108626198083066,29.77635782747604,83,182,0.45604395604395603,21,5,0.43895777334603814,-2.9598452653372576,162,1.0338683632945183,0.842952370259226,-14.504792332268366,-24.34504792332268,-2.782767400244534
2026-06-30,963,305,82,3.1573770491803277,49.39297124600639,36.29392971246006,39.04153354632588,119,82,1.451219512195122,60,2,1.0130858706808077,-0.8556149732620311,221,1.7773211685078365,1.4151685208360323,-2.4920127795527165,-6.645367412140573,-1.2138681442745547
2026-07-01,579,674,102,0.8590504451038575,49.96805111821086,37.18849840255591,38.977635782747605,110,125,0.88,35,1,0.0,-0.5258581488809866,287,2.0289957016632614,1.4236065168335479,13.482428115015978,-5.303514376996802,2.644263312682249
2026-07-02,770,491,92,1.5682281059063137,60.191693290734825,43.38658146964856,43.322683706070286,138,94,1.4680851063829787,54,4,0.33248081841430466,-0.181818181818183,288,1.861551866730167,1.5518484113067363,13.546325878594246,1.7891373801916899,1.238779055024819
2026-07-03,999,287,64,3.480836236933798,67.98722044728434,59.04153354632587,56.16613418530352,252,28,9.0,59,3,1.0150000686816263,3.327300246693876,399,1.9693715959813236,2.2272102895659787,17.12460063897764,30.670926517571893,1.6284385439663929
2026-07-06,679,563,109,1.2060390763765543,61.980830670926515,60.319488817891376,56.677316293929714,262,36,7.277777777777778,29,7,0.06381620931716903,2.952029520295185,367,2.0850344730722226,2.054306182700171,17.69968051118211,26.900958466453673,0.5068448327589348
2026-07-07,194,1094,65,0.1773308957952468,30.670926517571885,38.91373801916933,38.849840255591054,96,146,0.6575342465753424,8,35,-1.7561983471074405,0.0,349,1.621402069701867,1.4582969520231546,-4.472843450479232,-0.19169329073482544,-1.4022487578022935
2026-07-08,482,776,97,0.6211340206185567,23.706070287539934,36.42172523961661,36.74121405750799,80,150,0.5333333333333333,17,5,-0.2574665293511913,0.0,206,0.6681679975967866,1.4107136671260943,-19.42492012779553,-2.236421725239616,-2.732045073703193
2026-07-09,540,712,104,0.7584269662921348,21.789137380191693,35.52715654952077,34.4408945686901,75,150,0.5,22,6,-0.16133733981763543,-0.4844961240310197,199,0.51896396090198,1.2487534392032584,-22.236421725239616,-8.881789137380188,-2.488174686611433
