stock_id,stock_name,signal_date,new_or_existing,episode_start_date,current_top120_status,momentum_rank,momentum_rank_change,market_path_state,opportunity_density,pocket_state,lifecycle_state,market_down_day_outperformance,rs_slope,trend_efficiency,institution_flow_persistence,policy_0_state,policy_1_state,policy_2_state,policy_3_state,watchlist_action_shadow,day1_return,day3_return,day5_return,day10_return,maturity_status
6957,裕慶-KY,2026-07-24,EXISTING,2026-07-23,True,13.0,-7.0,RISK_OFF,LOW,NARROW_LEADERSHIP,CONTINUATION,1.0,-0.09640385450507456,0.488,0.8,PRIMARY_BASELINE_PRODUCTION_WATCH,PRIMARY_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,RISK_BREACHED,-1.8750000000000044,,,,PENDING_FORWARD
6243,迅杰,2026-07-24,NEW,2026-07-24,True,14.0,-1.0,RISK_OFF,LOW,EMERGING_POCKET,NEW_DISCOVERY,0.8,-0.35984817251823625,0.3423545331529095,0.6,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,RISK_BREACHED,-5.747126436781613,,,,PENDING_FORWARD
00642U,期元大S&P石油,2026-07-24,NEW,2026-07-24,True,24.0,58.0,RISK_OFF,LOW,NO_POCKET,NEW_DISCOVERY,0.8,1.8168313021872582,0.8371428571428562,0.9,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-7.830126078301259,,,,PENDING_FORWARD
3706,神達,2026-07-24,NEW,2026-07-24,True,27.0,20.0,RISK_OFF,LOW,EMERGING_POCKET,NEW_DISCOVERY,0.8,1.669305232606078,0.22413793103448237,0.6,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-0.10952902519166807,,,,PENDING_FORWARD
6670,復盛應用,2026-07-24,EXISTING,2026-07-23,True,29.0,,RISK_OFF,LOW,EMERGING_POCKET,REACCELERATING,1.0,20.441327638428515,0.35294117647058826,0.8,PRIMARY_BASELINE_PRODUCTION_WATCH,PRIMARY_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,2.0560747663551426,,,,PENDING_FORWARD
6414,樺漢,2026-07-24,EXISTING,2026-07-22,True,33.0,-28.0,RISK_OFF,LOW,CONFIRMED_POCKET,CONTINUATION,0.8,0.78868385032735,0.6838709677419355,1.0,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,PRIMARY_SHADOW,RESERVE_SHADOW,RISK_BREACHED,-6.2000000000000055,,,,PENDING_FORWARD
2425,承啟,2026-07-24,EXISTING,2026-07-22,True,38.0,66.0,RISK_OFF,LOW,EMERGING_POCKET,CONTINUATION,0.8,2.029909244325708,0.5151515151515151,0.2,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,RISK_BREACHED,-1.8143009605122717,,,,PENDING_FORWARD
8114,振樺電,2026-07-24,EXISTING,2026-07-23,True,39.0,101.0,RISK_OFF,LOW,NARROW_LEADERSHIP,REACCELERATING,0.6,16.283181340941198,0.3611111111111111,0.9,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-5.434782608695654,,,,PENDING_FORWARD
6477,安集,2026-07-24,NEW,2026-07-24,True,43.0,37.0,RISK_OFF,LOW,NARROW_LEADERSHIP,NEW_DISCOVERY,0.6,-0.024633486699978373,0.06711409395973152,0.4,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,DETERIORATING,-5.920205920205934,,,,PENDING_FORWARD
6533,晶心科,2026-07-24,NEW,2026-07-24,True,46.0,-18.0,RISK_OFF,LOW,NARROW_LEADERSHIP,NEW_DISCOVERY,0.8,-1.6543602302148817,0.24878048780487805,0.6,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,DETERIORATING,-1.6129032258064502,,,,PENDING_FORWARD
2637,慧洋-KY,2026-07-24,NEW,2026-07-24,True,58.0,52.0,RISK_OFF,LOW,EMERGING_POCKET,NEW_DISCOVERY,0.8,2.1970871331431376,0.04761904761904738,0.9,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-1.7899761336515496,,,,PENDING_FORWARD
2603,長榮,2026-07-24,NEW,2026-07-24,True,70.0,-4.0,RISK_OFF,LOW,EMERGING_POCKET,NEW_DISCOVERY,0.8,2.4604283821742903,0.45098039215686275,0.9,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,DETERIORATING,-1.2135922330097082,,,,PENDING_FORWARD
