evaluation_date,stock_id,market_path_state,opportunity_density,pocket_state,relative_survival_pass,momentum_flow_health_pass,market_policy,new_primary_shadow,new_reserve_shadow,zero_primary_reason,watchlist_action_shadow,rule_bundle,deployment_status
2026-05-28,3026,NORMAL,VERY_LOW,NARROW_LEADERSHIP,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3032,NORMAL,VERY_LOW,NARROW_LEADERSHIP,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3033,NORMAL,VERY_LOW,EMERGING_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3035,NORMAL,VERY_LOW,NO_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3037,NORMAL,VERY_LOW,NARROW_LEADERSHIP,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3042,NORMAL,VERY_LOW,EMERGING_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3046,NORMAL,VERY_LOW,EMERGING_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3048,NORMAL,VERY_LOW,EMERGING_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3055,NORMAL,VERY_LOW,NO_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3062,NORMAL,VERY_LOW,EMERGING_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3090,NORMAL,VERY_LOW,EMERGING_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3094,NORMAL,VERY_LOW,NO_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3135,NORMAL,VERY_LOW,EMERGING_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3209,NORMAL,VERY_LOW,EMERGING_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3229,NORMAL,VERY_LOW,NARROW_LEADERSHIP,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3305,NORMAL,VERY_LOW,NARROW_LEADERSHIP,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3312,NORMAL,VERY_LOW,EMERGING_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3346,NORMAL,VERY_LOW,NARROW_LEADERSHIP,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3450,NORMAL,VERY_LOW,NO_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3481,NORMAL,VERY_LOW,NO_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3504,NORMAL,VERY_LOW,EMERGING_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3528,NORMAL,VERY_LOW,EMERGING_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3607,NORMAL,VERY_LOW,NARROW_LEADERSHIP,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3711,NORMAL,VERY_LOW,EMERGING_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,3716,NORMAL,VERY_LOW,EMERGING_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,4545,NORMAL,VERY_LOW,EMERGING_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,4916,NORMAL,VERY_LOW,NARROW_LEADERSHIP,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,4919,NORMAL,VERY_LOW,NO_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,5215,NORMAL,VERY_LOW,EMERGING_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,5243,NORMAL,VERY_LOW,NARROW_LEADERSHIP,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
2026-05-28,5285,NORMAL,VERY_LOW,NO_POCKET,False,False,NORMAL_SELECTIVE,False,True,,SEPARATE_DAILY_SCAN,bundle_A,NOT_ACTIVATED_EVIDENCE_BELOW_PROVISIONAL
