stock_id,episode_start_date,dataset,entry_close,path_outcome,winner_hit_date,loser_hit_date,day10_outcome,future_return_10d
00983A,2026-06-16,A,11.94,NO_BARRIER_HIT,,,NEUTRAL,3.433835845896138
00989A,2026-06-16,A,18.36,NO_BARRIER_HIT,,,NEUTRAL,2.8322440087146017
00991A,2026-06-16,A,19.84,NO_BARRIER_HIT,,,NEUTRAL,5.191532258064524
00995A,2026-06-16,A,17.96,NO_BARRIER_HIT,,,NEUTRAL,2.839643652561241
1456,2026-06-16,A,14.55,NO_BARRIER_HIT,,,NEUTRAL,-3.7800687285223455
2340,2026-06-16,A,39.1,HIT_WINNER_FIRST,2026-06-22,,LOSER,-10.10230179028133
00403A,2026-06-17,A,10.75,NO_BARRIER_HIT,,,NEUTRAL,3.6279069767441996
1301,2026-06-17,A,47.95,HIT_WINNER_FIRST,2026-06-24,,WINNER,24.504692387904072
1465,2026-06-17,A,12.45,NO_BARRIER_HIT,,,NEUTRAL,1.2048192771084265
1515,2026-06-17,A,25.7,HIT_WINNER_FIRST,2026-06-25,,WINNER,51.55642023346305
1531,2026-06-17,A,12.95,NO_BARRIER_HIT,,,NEUTRAL,-0.3861003861003742
1541,2026-06-17,A,22.5,HIT_LOSER_FIRST,,2026-07-01,NEUTRAL,-4.888888888888898
1802,2026-06-17,A,69.3,HIT_WINNER_FIRST,2026-06-22,,NEUTRAL,1.5873015873016039
2402,2026-06-17,A,70.9,HIT_LOSER_FIRST,,2026-06-26,NEUTRAL,-4.090267983074758
2460,2026-06-17,A,35.5,HIT_LOSER_FIRST,,2026-06-23,NEUTRAL,2.8169014084507005
2489,2026-06-17,A,48.6,HIT_LOSER_FIRST,,2026-06-26,LOSER,-14.40329218106996
2611,2026-06-17,A,14.05,NO_BARRIER_HIT,,,NEUTRAL,-2.135231316725983
3535,2026-06-17,A,134.5,HIT_LOSER_FIRST,,2026-06-23,LOSER,-14.12639405204461
4722,2026-06-17,A,264.0,HIT_WINNER_FIRST,2026-06-22,,NEUTRAL,4.924242424242431
5469,2026-06-17,A,86.6,NO_BARRIER_HIT,,,NEUTRAL,1.0392609699769073
6213,2026-06-17,A,267.5,HIT_WINNER_FIRST,2026-06-22,,WINNER,34.01869158878505
6472,2026-06-17,A,412.5,NO_BARRIER_HIT,,,NEUTRAL,4.7272727272727355
7786,2026-06-17,A,129.0,NO_BARRIER_HIT,,,NEUTRAL,-4.651162790697672
7795,2026-06-17,A,400.0,HIT_WINNER_FIRST,2026-06-22,,WINNER,52.75000000000001
8039,2026-06-17,A,146.0,HIT_LOSER_FIRST,,2026-06-29,NEUTRAL,1.3698630136986356
9136,2026-06-17,A,16.65,HIT_LOSER_FIRST,,2026-06-22,LOSER,-18.01801801801801
0051,2026-06-18,A,147.7,NO_BARRIER_HIT,,,NEUTRAL,1.1171293161814422
