stock_id,stock_name,evaluation_date,dataset,policy,market_gate_pass,pocket_gate_pass,state_aware_pocket_gate_pass,survival_gate_pass,selected,outcome,future_return_10d,data_status
4178,永笙-KY,2026-07-08,B,P3_SURVIVAL_ONLY,False,True,False,False,False,NEUTRAL,-0.7792207792207684,RECONSTRUCTED_NOT_PRODUCTION_EXACT
4195,基米-創,2026-07-08,B,P3_SURVIVAL_ONLY,True,True,True,True,True,LOSER,-7.954545454545469,RECONSTRUCTED_NOT_PRODUCTION_EXACT
5269,祥碩,2026-07-08,B,P3_SURVIVAL_ONLY,False,False,False,False,False,LOSER,-7.868852459016395,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6794,向榮生技-創,2026-07-08,B,P3_SURVIVAL_ONLY,False,True,False,False,False,NEUTRAL,-5.589307411907651,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6934,心誠鎂,2026-07-08,B,P3_SURVIVAL_ONLY,False,True,True,False,False,NEUTRAL,8.42391304347827,RECONSTRUCTED_NOT_PRODUCTION_EXACT
8443,阿瘦,2026-07-08,B,P3_SURVIVAL_ONLY,True,True,False,True,True,NEUTRAL,-1.30434782608696,RECONSTRUCTED_NOT_PRODUCTION_EXACT
020037,元大金融高股息N,2026-07-09,B,P3_SURVIVAL_ONLY,False,False,False,False,False,NEUTRAL,0.7252946509519465,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1536,和大,2026-07-09,B,P3_SURVIVAL_ONLY,False,True,False,True,True,LOSER,-7.454545454545459,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1623,大東電,2026-07-09,B,P3_SURVIVAL_ONLY,False,True,False,False,False,NEUTRAL,-3.31125827814569,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2431,聯昌,2026-07-09,B,P3_SURVIVAL_ONLY,False,False,False,False,False,LOSER,-6.550218340611358,RECONSTRUCTED_NOT_PRODUCTION_EXACT
